Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP13780084,15051294,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Walking/Cycling on Sidewalk,WRONG WAY RIDING OR WALKING,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
EJ7853001X,16048626,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,15,BICYCLIST,Walking/Riding w/Traffic,OTHER,OTHER,OTHER,OTHER,No
DD56330008,180042427,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
DD56030040,170514300,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,No
DD56030040,170514300,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No
MCP26800035,190019036,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Walking/Riding against Traffic,FAILURE TO YIELD RIGHT OF WAY,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes
EJ7847001T,16028832,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,45,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,IN BIKEWAY,No Information,REFLECTIVE MATERIAL,No
MCP2635002C,15042668,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",LOOKED BUT DID NOT SEE,30,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP2859005F,180039488,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No
MCP3122001Q,180063065,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP3018000H,17011232,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP3018000H,17011232,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP91300020,16006234,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP91300020,16006234,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter not at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP21340010,170508547,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Unknown
MCP2492000M,16027601,Fatal Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,30,BICYCLIST,Other,OTHER,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown
MCP2654000L,15001472,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,PEDESTRIAN,Cross/Enter not at Intersection,NOT VISIBLE,OTHER,NO PED. SIGNAL,DARK CLOTHING,No Information
DD5508002D,16047169,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2694002D,16053873,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Standing,DISABLED VEHICLE RELATED,OTHER,OTHER,MIXED CLOTHING,No
MCP10640087,180054932,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,No Information,DARK CLOTHING,No
MCP0036002R,15043045,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
DD55830016,16006686,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,25,PEDESTRIAN,Approach/Leaving Schoolbus,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP30060034,180032582,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP30310010,170517158,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,SUSPECTED MINOR INJURY,No Information,LOOKED BUT DID NOT SEE,45,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP1022007Y,170534854,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP21070011,17000332,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP11280043,15051173,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2927000L,15054457,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2031001J,180039341,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,OTHER,Other Working,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
MCP2637000X,16016717,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP2818001W,16028823,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2564001F,170521313,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP2134000L,16010777,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Unknown
MCP11210044,180029562,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP29870025,170527293,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2717004R,16005393,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",LOOKED BUT DID NOT SEE,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2717004R,16005393,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",LOOKED BUT DID NOT SEE,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2982000S,16010869,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
HA2413000C,16000302,Property Damage Crash,BICYCLIST,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,No Information,No
MCP2639004K,180049160,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP1417003D,15029880,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,TALKING OR LISTENING TO CELLULAR PHONE,45,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,IN BIKEWAY,No Information,MIXED CLOTHING,No Information
MCP28050021,16050164,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,30,BICYCLIST,Cross/Enter not at Intersection,NOT VISIBLE,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,Unknown
EJ78350002,16021016,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2611000Z,15062006,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,45,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP2675000N,15010679,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,ALCOHOL PRESENT,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,0,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,No Information,MIXED CLOTHING,No Information
DD55080033,17003277,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,Yes
MCP2627000M,15045966,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,DRIVEWAY ACCESS MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
DD55220024,15034857,Injury Crash,BICYCLIST,ALCOHOL CONTRIBUTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Cross/Enter at Intersection,UNKNOWN,MIDBLOCK MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,No
MCP2492000Z,180030762,Fatal Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,40,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,DARK CLOTHING,Unknown
MCP15950005,15011709,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",OTHER CELLULAR PHONE RELATED,35,PEDESTRIAN,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No Information
MCP3130000W,180057950,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,0,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2565003N,16065503,Property Damage Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,DIALING CELLULAR PHONE,45,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,REFLECTIVE MATERIAL,No
MCP28290034,170507166,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,UNKNOWN,No
DD5529001M,16054221,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes
MCP2456001L,17015273,Property Damage Crash,OTHER,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,OTHER,No Information,No Information,OTHER,No Information,No Information,No
MCP2677000H,16004316,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A",NOT DISTRACTED,25,PEDESTRIAN,Other,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP28910040,170523155,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,OTHER,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,LIGHT CLOTHING,No
DM8336001G,180000956,Property Damage Crash,OTHER,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,OTHER,Other,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
MCP1205004V,190003389,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,10,PEDESTRIAN,Other,OTHER,OTHER,No Information,MIXED CLOTHING,Yes
MCP28850029,170545056,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2603002G,180062405,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,No Information,No
MCP1397000T,170532168,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP3122000X,180031104,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,LIGHT CLOTHING,No
MCP2813003L,170529602,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,OTHER DISTRACTION,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,LIGHT CLOTHING,No
EJ78260041,190005219,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,"VISION OBSTRUCTION (INCL. BLINDED BY SUN), WET",LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP2765001D,15022170,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,40,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,UNKNOWN,No Information
HA2372000X,18001064,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,No Information,UNKNOWN,Yes
MCP2902001W,170501904,Injury Crash,OTHER,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,OTHER,Standing,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,MIXED CLOTHING,No
MCP26570017,16053266,Injury Crash,BICYCLIST,ALCOHOL PRESENT,No Information,Yes,NO APPARENT INJURY,No Information,OTHER DISTRACTION,15,BICYCLIST,Walking/Riding w/Traffic,NOT VISIBLE,OTHER,No Information,LIGHT CLOTHING,No
MCP2531000C,15065793,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP2351001G,170534931,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",Unknown,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,Unknown
MCP2351001G,170534931,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",Unknown,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,No Information,AT INTERSECTION MARKED CROSSWALK,No Information,No Information,No
MCP2351001G,170534931,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",Unknown,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,UNKNOWN,MIXED CLOTHING,Unknown
DD5614000N,16024847,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP27170025,15038663,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP1436000B,180053661,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,OTHER,No Information,No Information,No Information,No Information,No Information,No
MCP0487000J,15035567,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,45,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP2689003J,170523840,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2689003J,170523840,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2689003J,170523840,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP29190028,16065408,Property Damage Crash,OTHER,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,OTHER,No Information,NO IMPROPER ACTIONS,No Information,No Information,No Information,No
DM8456000V,170514397,Injury Crash,PEDESTRIAN,No Information,NONE DETECTED,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP2777004Z,180062705,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP26990016,180057058,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,UNKNOWN,MIXED CLOTHING,No
MCP27890026,16003701,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,"ICY OR SNOW-COVERED, RAIN, SNOW",NOT DISTRACTED,35,PEDESTRIAN,Walking/Cycling on Sidewalk,OTHER,OTHER,No Information,MIXED CLOTHING,Yes
MCP29690019,15062641,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
EJ77470022,16033848,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
